poi_id,clusters
3fd66200f964a52000e71ee3,35
3fd66200f964a52000e81ee3,122
3fd66200f964a52000f11ee3,21
3fd66200f964a52001e51ee3,21
3fd66200f964a52001e81ee3,154
3fd66200f964a52002eb1ee3,187
3fd66200f964a52003e51ee3,95
3fd66200f964a52003e71ee3,14
3fd66200f964a52003e81ee3,43
3fd66200f964a52004e41ee3,18
3fd66200f964a52004e51ee3,72
3fd66200f964a52004e61ee3,3
3fd66200f964a52004e81ee3,51
3fd66200f964a52005e41ee3,35
3fd66200f964a52005e51ee3,7
3fd66200f964a52005e71ee3,154
3fd66200f964a52005e81ee3,36
3fd66200f964a52005eb1ee3,109
3fd66200f964a52006e61ee3,9
3fd66200f964a52006e81ee3,7
3fd66200f964a52006e91ee3,69
3fd66200f964a52006ea1ee3,185
3fd66200f964a52006eb1ee3,7
3fd66200f964a52007e61ee3,69
3fd66200f964a52007ea1ee3,95
3fd66200f964a52007eb1ee3,139
3fd66200f964a52008e31ee3,71
3fd66200f964a52008e71ee3,10
3fd66200f964a52008e81ee3,156
3fd66200f964a52008e91ee3,87
3fd66200f964a52008eb1ee3,85
3fd66200f964a52008f11ee3,36
3fd66200f964a52009e61ee3,35
3fd66200f964a52009e81ee3,128
3fd66200f964a52009f11ee3,41
3fd66200f964a5200ae51ee3,111
3fd66200f964a5200ae61ee3,35
3fd66200f964a5200ae71ee3,166
3fd66200f964a5200ae81ee3,7
3fd66200f964a5200ae91ee3,110
3fd66200f964a5200be51ee3,18
3fd66200f964a5200ce41ee3,84
3fd66200f964a5200ce61ee3,166
3fd66200f964a5200ce91ee3,158
3fd66200f964a5200de61ee3,156
3fd66200f964a5200de71ee3,78
3fd66200f964a5200deb1ee3,72
3fd66200f964a5200ee51ee3,108
3fd66200f964a5200ee71ee3,156
3fd66200f964a5200eea1ee3,54
3fd66200f964a5200fe41ee3,35
3fd66200f964a5200fe51ee3,7
3fd66200f964a5200fe91ee3,90
3fd66200f964a5200fea1ee3,90
3fd66200f964a52010e41ee3,151
3fd66200f964a52010e51ee3,18
3fd66200f964a52010e61ee3,8
3fd66200f964a52010e81ee3,81
3fd66200f964a52010eb1ee3,21
3fd66200f964a52011e51ee3,40
3fd66200f964a52011e81ee3,18
3fd66200f964a52011e91ee3,90
3fd66200f964a52011ea1ee3,72
3fd66200f964a52011eb1ee3,7
3fd66200f964a52011f11ee3,10
3fd66200f964a52012e41ee3,154
3fd66200f964a52012e51ee3,18
3fd66200f964a52012e61ee3,51
3fd66200f964a52012e71ee3,9
3fd66200f964a52013e61ee3,8
3fd66200f964a52013e91ee3,69
3fd66200f964a52013f11ee3,169
3fd66200f964a52014e71ee3,6
3fd66200f964a52014eb1ee3,59
3fd66200f964a52015e31ee3,7
3fd66200f964a52015e51ee3,108
3fd66200f964a52015e71ee3,157
3fd66200f964a52015e91ee3,94
3fd66200f964a52015eb1ee3,37
3fd66200f964a52016e51ee3,154
3fd66200f964a52016e81ee3,66
3fd66200f964a52016eb1ee3,90
3fd66200f964a52017e31ee3,6
3fd66200f964a52017e61ee3,18
3fd66200f964a52017eb1ee3,88
3fd66200f964a52018e41ee3,21
3fd66200f964a52018e51ee3,7
3fd66200f964a52018e71ee3,133
3fd66200f964a52018eb1ee3,165
3fd66200f964a52019e61ee3,84
3fd66200f964a52019e71ee3,88
3fd66200f964a52019eb1ee3,94
3fd66200f964a5201ae31ee3,124
3fd66200f964a5201ae61ee3,134
3fd66200f964a5201be41ee3,95
3fd66200f964a5201be61ee3,32
3fd66200f964a5201be71ee3,11
3fd66200f964a5201be91ee3,8
3fd66200f964a5201beb1ee3,191
3fd66200f964a5201ce61ee3,7
3fd66200f964a5201de61ee3,2
3fd66200f964a5201dea1ee3,110
3fd66200f964a5201deb1ee3,35
3fd66200f964a5201ee31ee3,18
3fd66200f964a5201ee51ee3,198
3fd66200f964a5201ee71ee3,36
3fd66200f964a5201ee81ee3,72
3fd66200f964a5201eeb1ee3,11
3fd66200f964a5201fe51ee3,6
3fd66200f964a5201fe61ee3,7
3fd66200f964a5201fe91ee3,33
3fd66200f964a5201fea1ee3,69
3fd66200f964a5201fee1ee3,53
3fd66200f964a52020e31ee3,135
3fd66200f964a52020e51ee3,51
3fd66200f964a52020e61ee3,42
3fd66200f964a52020e71ee3,149
3fd66200f964a52020e81ee3,10
3fd66200f964a52020ee1ee3,37
3fd66200f964a52021e31ee3,130
3fd66200f964a52021e41ee3,35
3fd66200f964a52021e71ee3,47
3fd66200f964a52021ea1ee3,7
3fd66200f964a52021ee1ee3,69
3fd66200f964a52022e41ee3,30
3fd66200f964a52022e51ee3,59
3fd66200f964a52023e41ee3,99
3fd66200f964a52023e51ee3,72
3fd66200f964a52023e61ee3,10
3fd66200f964a52023e81ee3,27
3fd66200f964a52023eb1ee3,123
3fd66200f964a52024e41ee3,72
3fd66200f964a52024e81ee3,93
3fd66200f964a52025e41ee3,53
3fd66200f964a52025e51ee3,2
3fd66200f964a52025e61ee3,51
3fd66200f964a52025e71ee3,174
3fd66200f964a52025eb1ee3,154
3fd66200f964a52026e51ee3,54
3fd66200f964a52026eb1ee3,43
3fd66200f964a52027e31ee3,11
3fd66200f964a52027e51ee3,20
3fd66200f964a52027ea1ee3,52
3fd66200f964a52028e41ee3,94
3fd66200f964a52029e31ee3,18
3fd66200f964a52029e61ee3,95
3fd66200f964a5202ae31ee3,9
3fd66200f964a5202ae41ee3,187
3fd66200f964a5202ae61ee3,37
3fd66200f964a5202be41ee3,18
3fd66200f964a5202bea1ee3,84
3fd66200f964a5202ce31ee3,7
3fd66200f964a5202ce41ee3,96
3fd66200f964a5202ce51ee3,72
3fd66200f964a5202ce61ee3,51
3fd66200f964a5202ce71ee3,22
3fd66200f964a5202de51ee3,21
3fd66200f964a5202de71ee3,37
3fd66200f964a5202dea1ee3,122
3fd66200f964a5202ee41ee3,84
3fd66200f964a5202ee61ee3,95
3fd66200f964a5202ee71ee3,7
3fd66200f964a5202ee81ee3,71
3fd66200f964a5202fe41ee3,22
3fd66200f964a5202fe81ee3,55
3fd66200f964a52030e81ee3,72
3fd66200f964a52030e91ee3,84
3fd66200f964a52030ea1ee3,54
3fd66200f964a52032e91ee3,35
3fd66200f964a52032eb1ee3,17
3fd66200f964a52033e31ee3,51
3fd66200f964a52033e61ee3,40
3fd66200f964a52033e71ee3,187
3fd66200f964a52033ea1ee3,10
3fd66200f964a52033eb1ee3,110
3fd66200f964a52034e31ee3,8
3fd66200f964a52034e61ee3,9
3fd66200f964a52034e81ee3,14
3fd66200f964a52034e91ee3,50
